year,round,country,votingCountry,points
1964,final,mc,yu,3
1964,final,mc,ch,1
1964,final,mc,be,3
1964,final,it,lu,5
1964,final,it,nl,5
1964,final,it,fi,5
1964,final,it,at,5
1964,final,it,gb,5
1964,final,it,de,3
1964,final,it,mc,3
1964,final,it,pt,5
1964,final,it,yu,5
1964,final,it,ch,3
1964,final,it,be,5
1964,final,be,mc,1
1964,final,be,pt,1
1964,final,es,it,1
1965,final,nl,no,5
1965,final,gb,es,5
1965,final,gb,no,1
1965,final,gb,be,6
1965,final,gb,se,3
1965,final,gb,it,1
1965,final,gb,dk,5
1965,final,gb,ch,5
1965,final,ie,pt,3
1965,final,ie,it,5
1965,final,ie,yu,3
1965,final,at,gb,3
1965,final,at,ie,5
1965,final,at,pt,5
1965,final,at,it,3
1965,final,no,at,1
1965,final,mc,gb,5
1965,final,mc,yu,1
1965,final,mc,ch,1
1965,final,se,dk,3
1965,final,se,fi,3
1965,final,fr,nl,1
1965,final,fr,es,3
1965,final,fr,ie,1
1965,final,fr,de,3
1965,final,fr,mc,5
1965,final,fr,lu,3
1965,final,fr,fi,1
1965,final,fr,yu,5
1965,final,pt,mc,1
1965,final,it,nl,3
1965,final,it,gb,1
1965,final,it,de,1
1965,final,it,be,3
1965,final,it,mc,3
1965,final,it,fr,3
1965,final,it,lu,1
1965,final,dk,se,5
1965,final,dk,lu,5
1965,final,lu,nl,5
1965,final,lu,es,1
1965,final,lu,ie,3
1965,final,lu,de,5
1965,final,lu,at,5
1965,final,lu,no,3
1965,final,lu,se,1
1965,final,lu,dk,1
1965,final,lu,fi,5
1965,final,lu,ch,3
1965,final,yu,fr,1
1965,final,yu,pt,1
1965,final,ch,at,3
1965,final,ch,fr,5
1966,final,de,be,1
1966,final,de,ch,5
1966,final,de,it,1
1966,final,dk,no,1
1966,final,dk,fi,3
1966,final,be,de,5
1966,final,be,pt,3
1966,final,be,se,1
1966,final,be,nl,5
1966,final,lu,at,1
1966,final,lu,se,5
1966,final,lu,fr,1
1966,final,yu,de,3
1966,final,yu,fi,1
1966,final,yu,gb,5
1966,final,no,de,1
1966,final,no,at,3
1966,final,no,se,3
1966,final,no,es,3
1966,final,no,it,5
1966,final,fi,dk,3
1966,final,fi,no,3
1966,final,fi,nl,1
1966,final,pt,dk,1
1966,final,pt,es,5
1966,final,at,be,5
1966,final,at,lu,5
1966,final,at,yu,5
1966,final,at,pt,1
1966,final,at,es,1
1966,final,at,ch,3
1966,final,at,mc,5
1966,final,at,it,3
1966,final,at,fr,3
1966,final,se,dk,5
1966,final,se,no,5
1966,final,se,fi,5
1966,final,se,ch,1
1966,final,es,yu,1
1966,final,es,pt,5
1966,final,es,gb,3
1966,final,ch,lu,1
1966,final,ch,at,5
1966,final,ch,mc,3
1966,final,ch,ie,3
1966,final,fr,mc,1
1966,final,nl,ie,1
1966,final,nl,gb,1
1966,final,ie,be,3
1966,final,ie,yu,3
1966,final,ie,fr,5
1966,final,ie,nl,3
1966,final,gb,lu,3
1966,final,gb,ie,5
1967,final,nl,gb,1
1967,final,nl,ie,1
1967,final,lu,nl,4
1967,final,lu,fi,2
1967,final,lu,be,1
1967,final,lu,gb,2
1967,final,lu,es,1
1967,final,lu,mc,1
1967,final,lu,yu,1
1967,final,lu,it,3
1967,final,lu,ie,2
1967,final,at,pt,1
1967,final,at,yu,1
1967,final,fr,nl,1
1967,final,fr,lu,2
1967,final,fr,at,1
1967,final,fr,ch,1
1967,final,fr,se,4
1967,final,fr,de,2
1967,final,fr,gb,2
1967,final,fr,mc,2
1967,final,fr,yu,4
1967,final,fr,ie,1
1967,final,pt,fr,1
1967,final,pt,ch,1
1967,final,pt,es,1
1967,final,se,pt,1
1967,final,se,fi,1
1967,final,se,no,2
1967,final,se,yu,1
1967,final,se,ie,2
1967,final,fi,nl,1
1967,final,fi,pt,1
1967,final,fi,it,1
1967,final,de,pt,1
1967,final,de,se,1
1967,final,de,be,1
1967,final,de,gb,1
1967,final,de,no,1
1967,final,de,it,1
1967,final,de,ie,1
1967,final,be,pt,1
1967,final,be,fi,3
1967,final,be,de,1
1967,final,be,gb,1
1967,final,be,yu,1
1967,final,be,ie,1
1967,final,gb,nl,2
1967,final,gb,lu,5
1967,final,gb,at,3
1967,final,gb,fr,7
1967,final,gb,pt,1
1967,final,gb,ch,7
1967,final,gb,se,1
1967,final,gb,fi,2
1967,final,gb,de,3
1967,final,gb,be,3
1967,final,gb,no,7
1967,final,gb,mc,3
1967,final,gb,it,2
1967,final,gb,ie,1
1967,final,es,nl,1
1967,final,es,lu,1
1967,final,es,at,1
1967,final,es,pt,2
1967,final,es,be,1
1967,final,es,mc,2
1967,final,es,yu,1
1967,final,no,nl,1
1967,final,no,se,1
1967,final,mc,at,2
1967,final,mc,fr,1
1967,final,mc,se,1
1967,final,mc,es,5
1967,final,mc,it,1
1967,final,yu,lu,1
1967,final,yu,fr,1
1967,final,yu,pt,1
1967,final,yu,be,1
1967,final,yu,es,2
1967,final,yu,it,1
1967,final,it,ch,1
1967,final,it,gb,1
1967,final,it,es,1
1967,final,it,ie,1
1967,final,ie,lu,1
1967,final,ie,at,3
1967,final,ie,pt,1
1967,final,ie,se,2
1967,final,ie,fi,2
1967,final,ie,de,4
1967,final,ie,be,3
1967,final,ie,gb,2
1967,final,ie,mc,2
1967,final,ie,yu,1
1967,final,ie,it,1
1968,final,pt,no,2
1968,final,pt,es,3
1968,final,nl,it,1
1968,final,be,pt,1
1968,final,be,fi,1
1968,final,be,fr,1
1968,final,be,it,3
1968,final,be,gb,1
1968,final,be,es,1
1968,final,at,de,2
